dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,t0-beta,359819.02222222224,359819.02222222224,316.12305555555554,0.8106394764816022,0.012232832378811306,0.012294125027126736,6.87613211811606,599.8491662261624,0.023133784675702176,0.012191602672812545,0.009790815941642399,Web/CloudOps,2
bizitobs_application/10S/medium,t0-beta,3621427.2,3621427.2,1044.6386458333334,2.1416595569791377,0.030746533075968425,0.03144927978515625,26.469983173023174,1903.004781917271,0.07472539690816185,0.04101988506663358,0.03568999608773947,Web/CloudOps,2
bizitobs_application/10S/long,t0-beta,4835566.364444445,4835566.364444445,1341.2076388888888,2.7711330272652535,0.03988938225640191,0.04080809275309245,31.422941386784025,2198.992124689046,0.08480633662653322,0.051725017671799545,0.04448434074447583,Web/CloudOps,2
hierarchical_sales/D/short,t0-beta,29.05407451426209,29.05407451426209,2.3170161675795784,0.7453529579963077,0.6393476621077979,1.065745869289996,6.730757870842948,5.390183161476249,1.6536485012633064,0.7108349008072391,0.5741157958587494,Sales,1
kdd_cup_2018/D/short,t0-beta,2861.8019815147286,2861.8019815147286,20.994900758029125,1.1915896882359835,0.5454903838561407,0.4621771155412594,9.015935802411489,53.49581274749201,1.1983629722026012,0.4703080555528144,0.36995740755939927,Nature,1
bizitobs_l2c/H/short,t0-beta,56.35401165674603,56.35401165674603,4.493197002108135,0.44468106580399114,0.3794335015386129,0.616363040984623,2.739628552348703,7.506930907950734,0.4046428015208705,0.2421948256900281,0.18730397910801264,Web/CloudOps,7
bizitobs_l2c/H/medium,t0-beta,81.2420665922619,81.2420665922619,5.05535888671875,0.5143057594848854,0.46896193772968814,0.7837066650390625,3.7808400597069967,9.013438111634311,0.5457773682857596,0.30610965924001987,0.244741596072051,Web/CloudOps,7
bizitobs_l2c/H/long,t0-beta,92.5447978670635,92.5447978670635,5.561100260416667,0.5857303195393877,0.5659356159402626,0.814336673797123,4.6480928474495995,9.620020679139078,0.5876186281713001,0.33968805422999837,0.2695793647086819,Web/CloudOps,7
solar/W/short,t0-beta,1155638.6569343065,1155638.6569343065,827.3156364051094,0.8965450781315228,0.17661072389922872,0.16236017046183565,7.532603742137897,1075.0063520437013,0.2194356729373451,0.16887580530199792,0.13194160472718305,Energy,1
kdd_cup_2018/H/short,t0-beta,4406.344083078462,4406.344083078462,21.783780792959853,0.9078397216919075,0.7891294793719307,0.4823042382417406,7.221949321956604,66.38029890772158,1.389459880448777,0.4559739855704013,0.3655392071722784,Nature,1
kdd_cup_2018/H/medium,t0-beta,5225.8596446578,5225.8596446578,25.091817212463745,1.027432987735813,0.8939194867833773,0.5551278450851935,8.089072101136654,72.29010751588214,1.5131628737914404,0.5252171776549038,0.41825300765460116,Nature,1
kdd_cup_2018/H/long,t0-beta,4082.0991674527336,4082.0991674527336,23.561966475471788,0.991476092812626,0.9865812432242375,0.5948186968672553,7.292299622505377,63.89130744829639,1.4991482507627936,0.5528589449326877,0.4344638961847138,Nature,1
loop_seattle/H/short,t0-beta,62.349666554641246,62.349666554641246,4.107315896407039,0.8348530260579735,0.11350021374736485,0.0939926015683877,6.7646305280842185,7.896180504183098,0.13977042465607875,0.0727036681511204,0.058157888154458055,Transport,1
loop_seattle/H/medium,t0-beta,67.4264125386997,67.4264125386997,4.298811597007224,0.8809050380969184,0.12244548029943886,0.09853897960808501,6.509500307948959,8.211358751065484,0.14513483037458272,0.07598100519758388,0.060085291322365016,Transport,1
loop_seattle/H/long,t0-beta,63.04457344341245,63.04457344341245,4.1639789194186445,0.8687271346476151,0.13932173249645252,0.0964077230741529,6.504975452569321,7.940061299726373,0.1418995256567648,0.07441587806515247,0.05876132719792135,Transport,1
m_dense/H/short,t0-beta,45562.36444444444,45562.36444444444,86.87010416666666,0.7795996791131288,0.2862720004053065,0.20546715630425347,8.775377137959792,213.45342453201457,0.37861318593558607,0.15408591814916,0.1275525532466034,Transport,1
m_dense/H/medium,t0-beta,39623.955555555556,39623.955555555556,79.38862847222222,0.6855729232977441,0.25393326521235454,0.18687008327907986,8.020623156596411,199.0576689192244,0.34633519565505594,0.13812618385414155,0.11457975445427022,Transport,1
m_dense/H/long,t0-beta,37145.29975308642,37145.29975308642,78.95776234567901,0.6852747696161027,0.2506979765724171,0.18662178698881174,7.553152373125876,192.7311592687763,0.3336461275403046,0.1366875587000704,0.1128046178278715,Transport,1
jena_weather/H/short,t0-beta,1167.9612573099416,1167.9612573099416,8.614643705618212,0.5232256145007129,1.3004162808764623,0.6066096026198309,4.453663038840887,34.17544816545851,0.20949329714804085,0.05280721133218717,0.0415751697891857,Nature,21
jena_weather/H/medium,t0-beta,1245.9874007936507,1245.9874007936507,9.98141586061508,0.7767287834832336,2.2526959091801,0.6599518791077629,5.926818643645215,35.29854672353595,0.21599806770781255,0.061078053886094975,0.04946375844066135,Nature,21
jena_weather/H/long,t0-beta,1133.9798941798942,1133.9798941798942,10.448097511574074,0.8452462401777714,2.114489165743352,0.6345658493584444,6.2937754525383225,33.67461795150606,0.20275850904177536,0.0629091227351281,0.051835721004822144,Nature,21
ett1/W/short,t0-beta,1090172.0,1090172.0,844.4095982142857,1.560595869899014,0.6118084362574986,0.5458573954445975,9.28498009193484,1044.1130207022609,0.41547749156486924,0.3360107332857542,0.24981814980932673,Energy,7
hierarchical_sales/W/short,t0-beta,461.0343617584746,461.0343617584746,8.912559379965572,0.7171355054091823,0.5311842008813231,0.4537871409270723,6.701503094714111,21.471710731995124,0.9857767423007963,0.40917996059126777,0.3492054719752016,Sales,1
ett1/H/short,t0-beta,88.3958519345238,88.3958519345238,4.747239176432291,0.8002926663008942,0.41683349609375,0.2570030939011347,5.578608386502689,9.401906824390668,0.4388254562882875,0.22157307412398716,0.17232252041747034,Energy,7
ett1/H/medium,t0-beta,150.8288132440476,150.8288132440476,7.645396786644345,1.4055941866730115,4120685071839.35,0.47311092558361234,8.73491160235779,12.281238261838569,0.5882422001694516,0.36619638273110483,0.2775021582866951,Energy,7
ett1/H/long,t0-beta,161.3621693121693,161.3621693121693,7.947582878637566,1.4805062036473813,3904757912593.6772,0.5014904203869047,8.644693105015932,12.70284099373716,0.6083115427465815,0.38059253078850036,0.2868226822110302,Energy,7
electricity/D/short,t0-beta,1185515887.9757838,1185515887.9757838,4142.793081081081,1.4044648709426493,0.22686313305459022,0.09295236398507883,11.666093020384737,34431.32132195603,0.5658209560624753,0.06807984857704377,0.05375176083495796,Energy,1
m4_yearly/A/short,t0-beta,4115873.859957633,4115873.859957633,969.0808849133804,3.635178449998207,0.17298486204322516,0.16514919778363302,30.233000106878805,2028.7616567644493,0.3253213356698411,0.15539661191888166,0.12507952462755437,Econ/Fin,1
